,EVENT_NO_TRIP,OPD_DATE,VEHICLE_ID,ACT_TIME,VELOCITY,DIRECTION,GPS_LONGITUDE,GPS_LATITUDE,num_rows,json_date
0,0,0,0,0,850,868,9,9,170828,2021_01_16
0,0,0,0,0,699,783,79,79,133973,2021_01_17
0,0,0,0,0,700,715,8,8,133479,2021_01_18
0,0,0,0,0,1664,1993,222,222,367211,2021_01_19
0,0,0,0,0,1614,1721,66,66,356602,2021_01_20
0,0,0,0,0,1651,1726,39,39,368612,2021_01_21
0,0,0,0,0,1609,1688,41,41,363246,2021_01_22
0,0,0,0,0,846,871,14,14,169274,2021_01_23
0,0,0,0,0,695,984,219,219,130745,2021_01_24
0,0,0,0,0,1709,2348,482,482,365452,2021_01_25
0,0,0,0,0,1655,1814,85,85,355477,2021_01_26
0,0,0,0,0,1667,1791,65,65,364779,2021_01_27
0,0,0,0,0,1687,1803,63,63,366390,2021_01_28
0,0,0,0,0,1693,1778,46,46,380364,2021_01_29
0,0,0,0,0,843,865,12,12,180828,2021_01_30
0,0,0,0,0,703,757,32,32,138082,2021_01_31
0,0,0,0,0,1713,2077,219,219,387181,2021_02_01
0,0,0,0,0,1637,1845,114,114,366614,2021_02_02
0,0,0,0,0,1636,1780,78,78,381854,2021_02_03
0,0,0,0,0,1673,1990,210,210,380519,2021_02_04
0,0,0,0,0,1661,1881,139,139,384540,2021_02_05
0,0,0,0,0,852,866,7,7,175811,2021_02_06
0,0,0,0,0,700,725,14,14,134608,2021_02_07
0,0,0,0,0,1697,1988,178,178,378021,2021_02_08
0,0,0,0,0,1652,1823,95,95,371613,2021_02_09
